EQ, 685395093.38, LNO, UW,   , EHZ, S, None, F
EQ, 685395105.41, MOX, UW,   , EHZ, S, None, F
EQ, 685395083.63, CRF, UW,   , EHZ, S, None, F
EQ, 685395091.58, MJ2, UW,   , EHZ, S, None, F
EQ, 685395097.24, RSW, UW,   , EHZ, S, None, F
EQ, 685395087.67, WA2, UW,   , EHZ, S, None, F
EQ, 698874885.46, ASR, UW,   , SHZ, P, None, F
EQ, 698874890.27, JCW, UW,   , SHZ, P, None, F
EQ, 698874882.23, VBE, UW,   , SHZ, P, None, F
EQ, 698874879.66, KMO, UW,   , SHZ, P, None, F
EQ, 698874887.72, FMW, UW,   , SHZ, P, None, F
EQ, 698874879.53, SSO, UW,   , SHZ, P, None, F
EQ, 698874882.37, BOW, UW,   , SHZ, P, None, F
EQ, 698874890.81, MCW, UW,   , SHZ, P, None, F
EQ, 698874883.52, VCR, UW,   , SHZ, P, None, F
EQ, 698874883.33, VIP, UW,   , SHZ, P, None, F
EQ, 698874887.6, JBO, UW,   , SHZ, P, None, F
EQ, 698874893.52, WAT, UW,   , SHZ, P, None, F
EQ, 698874894.87, SAW, UW,   , SHZ, P, None, F
EQ, 698874892.31, WA2, UW,   , SHZ, P, None, F
EQ, 680152878.42, LOC, UW,   , EHZ, P, None, F
EQ, 680152885.17, MOX, UW,   , EHZ, P, None, F
EQ, 680152878.3, BVW, UW,   , EHZ, P, None, F
EQ, 680152880.97, BVW, UW,   , EHZ, S, None, F
EQ, 680152888.05, EPH, UW,   , EHZ, P, None, F
EQ, 680152881.75, VTG, UW,   , EHZ, P, None, F
EQ, 680152882.44, BRV, UW,   , EHZ, P, None, F
EQ, 680152879.76, GBL, UW,   , EHZ, P, None, F
EQ, 680152893.26, OD2, UW,   , EHZ, P, None, F
EQ, 680152881.03, RC1, UW,   , EHZ, P, None, F
EQ, 680152886.37, RC1, UW,   , EHZ, S, None, F
EQ, 680152899.3, DY2, UW,   , EHZ, P, None, F
EQ, 680152877.98, MDW, UW,   , EHZ, P, None, F
EQ, 680152884.19, WIW, UW,   , EHZ, P, None, F
EQ, 680152900.45, LNO, UW,   , EHZ, P, None, F
EQ, 680152879.86, CRF, UW,   , EHZ, P, None, F
EQ, 680152881.49, MJ2, UW,   , EHZ, P, None, F
EQ, 680152899.92, JBO, UW,   , EHZ, P, None, F
EQ, 680152894.55, WAT, UW,   , EHZ, P, None, F
EQ, 680152882.77, RSW, UW,   , EHZ, P, None, F
